ID, Beskrivelse, adresse, kvadratmeter, pris, totalpris + fellesgjeld, megler 
174899661 , Minde - 3-roms selveierleilighet. Rolig område og sentral beliggenhet. Ca. 5 min gange til buss og  ca. 15 min til Bybanen , Conrad Mohrs veg 38, Bergen , 68 m² , 2 450 000 kr , Totalpris: 2 522 792 kr • Fellesutg.: 2 530 kr , Fana Sparebank Eiendom
174896941 , Halvpart av tomannsbolig med landlig og solrik beliggenhet nær sjøen. Boligen har flott planløsning og gode kvaliteter. , Øykjeneset 28a, Blomsterdalen , 155 m² , 5 250 000 kr , Totalpris: 5 396 892 kr , PrivatMegleren Syd
174893442 , NB: Kun visning ved påmelding - Flott Bergenhus oppusset i 2016 | Attraktiv beliggenhet midt i Bergen sentrum. Gode leieinntekter. , Asylplassen 2B, Bergen , 110 m² , 5 990 000 kr , Eier (Selveier) • Enebolig • 6 soverom , PrivatMegleren Nord
174889299 , Nesttun - Eldre enebolig med sjarm og flott utsikt. Stor tomt og mye potensiale. Kort avstand til barnehage og buss. , Nedre Kirkebirkeland 10, Nesttun , 111 m² , 3 990 000 kr , Totalpris: 4 105 392 kr , PrivatMegleren Syd
159313952 , Lekker og innholdsrik oppusset enebolig med 5 sov. og 2 bad. Sjøutsikt, barnevennlig nabolag, stor terrasse og garasje. , Hylkjevegen 24, Hylkje , 150 m² , 4 490 000 kr , Totalpris: 4 603 750 kr , DNB Eiendom AS
174864416 , Bønes - Flott familiebolig med fem soverom og sentral beliggenhet på Bønes. Flott uteområde og egen parkeringsplass. , Øvre Kråkenes 152, Bønes , 134 m² , 5 100 000 kr , Totalpris: 5 228 842 kr , Krogsveen avd. Fyllingsdalen
173249018 , Fyllingsdalen/Oasen: Nyoppusset og flott hjørneleilighet med store rom, gode kvaliteter og 4 minutters gange til Oasen! , Dag Hammarskjölds vei 41, Fyllingsdalen , 68 m² , 1 990 000 kr , Totalpris: 2 024 674 kr • Fellesutg.: 4 595 kr , Privatmegleren Vest
169781753 , 2 SOLGT, 1 RESERVERT! 16 flotte leiligheter med gode solforhold. Garasje/p-plass. Sentralt. Ingen forskuddsbetaling! , Storrinden, Søreidgrend , 58 - 112 m² , 2 990 000 - 4 990 000 kr , Totalpris: 2 999 870 - 4 799 870 kr , Eie Eiendomsmegling Bergen Vest
142410084 , Mulighet for visning hver dag! GARTNERLIEN | Sandsli. Flotte og store leiligheter m/egen uteplass m/drivhus. , Gartnerlien II - Sandslimarka 249 E - F, Sandsli , 104 m² , 5 295 000 - 6 495 000 kr , Totalpris: 5 323 620 - 6 524 270 kr , Bonava Norge AS
126754663 , Kronstad | 70 moderne og stilfulle boliger, alle med markterrasse/balkong eller privat takterrasse. , Fabrikkgaten 7 A, Bergen , 45 - 125 m² , 3 100 000 - 12 790 000 kr , Totalpris: 3 117 192 - 12 834 242 kr , PrivatMegleren Vikebø & Jørgensen Nybygg
170329238 , Bønes | Meget pent rekkehus med fantastisk utsikt | Gode solforhold  | Populær beliggenhet | Parkeringsplass , Tjørnhaugen 188, Bønes , 93 m² , 3 650 000 kr , Totalpris: 3 752 924 kr , W EIENDOMSMEGLING AS
174856398 , Særdeles barnevennlig enebolig over to plan med flere solrike uteplasser og nærhet til lekeplass, skole og flott natur! , Janaveien 94, Godvik , 115 m² , 4 975 000 kr , Totalpris: 5 100 545 kr , Eiendomsmegler Vest  Fyllingsdalen
156195412 , Nyhavn | Toppleilighet med 2 soverom på vakre Nyhavn. Solrik balkong og mulighet for kjøp av parkering. , Nyhavn 6C, Bergen , 53 m² , 3 690 000 kr , Totalpris: 3 723 612 kr • Fellesutg.: 2 165 kr , PrivatMegleren Vikebø & Jørgensen Nybygg
174796324 , Wergeland - Knallfin og moderne leilighet med balkong og sentral beliggenhet rett v/bybanen , Inndalsveien 106, Bergen , 53 m² , 2 890 000 kr , Totalpris: 3 073 332 kr • Fellesutg.: 4 153 kr , Nordvik Bergen
174681748 , DAMSGÅRDSSUNDET - Nyere urban 2 roms selveier med sjøglimt fra 2016. Egen balkong samt stor felles takterrasse med ypperlige solforhold , Damsgårdsveien 33, Bergen , 39 m² , 2 800 000 kr , Totalpris: 2 878 570 kr • Fellesutg.: 1 261 kr , Eiendomsmegler Vest Bergen Sentrum
174674924 , Sletten Senter - Flott 3-roms endeleilighet i byggets 5. etasje. Solrik altan og nydelig utsikt! Bybane og Sletten senter utenfor døren! , Vilhelm Bjerknes' vei 14B, Bergen , 69 m² , 2 500 000 kr , Totalpris: 2 571 052 kr • Fellesutg.: 4 002 kr , Krogsveen avd. Åsane
154365526 , Mulighet for visning hver dag! BISKOPSHUS - Helt nye og moderne eierleiligheter med egen balkong. 23 av 37 solgt! , Biskopshus BYGG C, Bergen , 59 - 136 m² , 3 950 000 - 9 995 000 kr , Totalpris: 3 980 572 - 10 049 972 kr , Bonava Norge AS
122580312 , Mulighet for visning hver dag! GARTNERLIEN | Sandsli - Flotte og store leiligheter m/egen uteplass m/drivhus. , GARTNERLIEN I - Sandslimarka 249 G, H, I, Sandsli , 83 - 112 m² , 3 995 000 - 6 825 000 kr , Totalpris: 4 019 890 - 6 854 920 kr , Bonava Norge AS
118217733 , Glaskaråsen Panorama - Helt nye og solrike leiligheter med sentral beliggenhet. Alle leilighetene er innflytningsklare! , Storbotn 87, Øvre Ervik , 78 - 79 m² , 4 190 000 - 5 750 000 kr , Totalpris: 4 203 842 - 5 763 722 kr , PROAKTIV PROSJEKTMEGLING AS
174746582 , Salg av kontraktsposisjon - Bo på bryggekanten i en herlig 2-roms toppleilighet med sjøutsikt og gode solforhold! Garasjeplass og heis. , Breivikdalen 55, Godvik , 51 m² , Solgt , Fellesutg.: 5 557 kr , GARANTI Eiendomsmegling Bergen
