ID, Beskrivelse, adresse, kvadratmeter, pris, totalpris + fellesgjeld, megler 
164366893 , Ranheim - Vertikaldelt 1/2-part tomannsbolig over 3 plan med utleie p.t. 7800/mnd - Meget sentral beliggenhet - Sørvendt balkong , Grilstadvegen 3, Ranheim , 161 m² , 4 640 000 kr , EiendomsMegler 1 avd. Grilstadporten , Eier (Selveier) • Tomannsbolig • 4 soverom
174899245 , HOEGGEN - Innholdsrik og pen enebolig over 2 plan. Stor, solrik og skjermet hage. Egen garasje. Attraktiv beliggenhet i blindvei. , Hoeggvegen 34, Trondheim , 145 m² , 5 600 000 kr , Totalpris: 5 751 242 kr , Proaktiv Eiendomsmegling avd. Moholt
167249577 , Ila - Lys 1-roms på 23 kvm - Sentral beliggenhet - Felles takterrasse - Strøm og fjernvarme inkl i felleskost. , Ilevollen 17, Trondheim , 23 m² , 1 250 000 kr , Totalpris: 1 490 591 kr • Fellesutg.: 3 607 kr , Aktiv
170827669 , Nyveilia - Rekkehus over to plan med egen garasje - Balkong  - Barnevennlig og skjermet beliggenhet i blindvei , Nyveilia 220, Heimdal , 112 m² , 2 890 000 kr , Totalpris: 2 999 142 kr • Fellesutg.: 917 kr , Aktiv
174893862 , Moholt - Flott 2 roms BL | Veranda | Utsikt | Flott standard | TG1 | Må sees! , Lidarende 5, Trondheim , 54 m² , 2 600 000 kr , Totalpris: 2 705 579 kr • Fellesutg.: 3 405 kr , Heimdal Eiendomsmegling AS avd. Trondheim Sentrum
174348578 , Ranheim - Lekker 2-roms selveierleilighet i et attraktivt boområde like ved sjøen, fjæra og Ladestien - Fjernvarme - Garasjeplass , Ranheimsfjæra 65, Ranheim , 59 m² , 3 090 000 kr , Totalpris: 3 168 592 kr • Fellesutg.: 2 261 kr , Krogsveen avd. Trondheim
171675731 , STOKKANHAUGEN - Lekker funkisbolig med enestående panoramautsikt og meget god beliggenhet - Bygd i 2016 - 60m² med uteplasser - Garasje , Stokkanhaugen 51C, Trondheim , 124 m² , 7 490 000 kr , Totalpris: 7 678 592 kr , DNB Eiendom AS
174890318 , Velkommen til Lade - Lade: Lekker 1/4 part attraktivt beliggende i grønne omgivelser. Kjøkken og bad med TG1. Ildsted. Terrasse. Garasje. , Leiv Eirikssons vei 26, Trondheim , 70 m² , 3 950 000 kr , Totalpris: 3 958 032 kr • Fellesutg.: 3 501 kr , Aktiv
174888287 , Nyoppført 2/3 roms endeleilighet med fast plass i p-kjeller. , Tonstadbrinken 301, Tiller , 60 m² , 3 098 000 kr , Totalpris: 3 120 267 kr • Fellesutg.: 749 kr , Varmbobygg AS
174888560 , RISVOLLAN - Svært delikat familieleilighet over 2 plan. God finish og høy standard. Barnehager & skoler rett ved. Garasje og solrikt , Utleirtunet 5B, Trondheim , 110 m² , 3 190 000 kr , Totalpris: 3 363 417 kr • Fellesutg.: 6 322 kr , Proaktiv Eiendomsmegling avd. Moholt
162665732 , Oscar Wistings vei 15- 4 helt nye leiligheter på attraktive Sverresli. Tre til fire soverom - To bad - Parkeringskjeller , Oscar Wistings vei 15, Trondheim , 108 - 109 m² , 8 000 000 - 10 500 000 kr , Totalpris: 8 062 070 - 10 562 500 kr , EiendomsMegler 1 Prosjekt Trondheim
144834056 , Byåsen/Damlia - Nytt byggetrinn!  Attraktive og moderne rekkehus - www.nabo-laget.no , Nabo-laget tredje byggetrinn, Trondheim , 102 m² , 4 125 000 - 4 290 000 kr , Totalpris: 4 149 792 - 4 314 792 kr , Aktiv
122628375 , Heimdal - Helt nye selveierleiligheter midt i smørøyet på Heimdal | Husbankfinansiering (1,99% rente) | Innflyttingsklar , Bringebærhagen A, Heimdal , 61 m² , 3 670 000 kr , Eier (Selveier) • Leilighet , Heimdal Eiendomsmegling AS, Hovedkontor Trondheim
171942873 , 37 nye selveierleiligheter kommer for salg i sentrum av Heimdal - Priser fra 1.790.000,- , Heimdalsvegen 12, Heimdal , not found , not found , Eier (Selveier) • Leilighet , Heimdal Eiendomsmegling AS, Hovedkontor Trondheim
174817390 , Tiltalende og lekker 4-roms leilighet i 2.etasje i veldrevet B/L med lav fellesgjeld. Varmepumpe. Meget barnevennlig. , Saupstadringen 27A, Saupstad , 93 m² , 2 290 000 kr , Totalpris: 2 391 120 kr • Fellesutg.: 4 695 kr , Eie Eiendomsmegling Trondheim
166725510 , Leiligheter kommer for salg i Klæbu , Hallsetvegen, Klæbu , not found , not found , Eier (Selveier) • Leilighet , Block Watne AS
174810419 , Buran - Pen og sentral 2-roms selveierleilighet. God takhøyde. Lave felleskostnader. Nært solsiden, NTNU og flere studiesteder , Frostaveien 6, Trondheim , 33 m² , 1 890 000 kr , Totalpris: 1 972 386 kr • Fellesutg.: 2 362 kr , EiendomsMegler 1 avd. Lerkendal
174799377 , Othilienborg - Attraktiv og oppusset 3-roms leilighet med vestvendt balkong. Lekkert HTH kjøkken fra 2015. Vaskerom. Parkering. , Othilienborgtunet 7, Trondheim , 71 m² , 2 690 000 kr , Totalpris: 2 890 745 kr • Fellesutg.: 4 012 kr , EiendomsMegler 1 avd. Lerkendal
174549463 , HALLSET / BYÅSEN - Stor 3-roms med enkel adkomst i 1.etg. 2 store sov. Vaskerom. Romslig veranda. Parkeringsmulighet. Veldrevet borettslag. , Waldemar Aunes veg 1A, Trondheim , 77 m² , 2 350 000 kr , Totalpris: 2 503 618 kr • Fellesutg.: 3 662 kr , DNB Eiendom AS
174777107 , Nardo - Stor del av tomannsbolig - Stor vestvendt hage med terrasse - Garasje på 108 kvm med verksted i kjellerdel og heis , Tors veg 14, Trondheim , 154 m² , 4 490 000 kr , Totalpris: 4 603 592 kr , DNB Eiendom AS
137809258 , Ladebyhagen bygg G- Populære leilighet på Lade med gulvvarme. Innflytting høst 2020. Lave omk. , Ladebyhagen bygg G - Morelltunet, Trondheim , 41 - 115 m² , 2 840 000 - 8 900 000 kr , Totalpris: 2 863 420 - 8 937 600 kr , OBOS BBL
174752357 , Nyveilia - Flott rekkehus over to plan på Heimdal|2 soverom|Vaskerom|Kjellerstue|Flott uteområde|Garasje|Vedovn/varmepumpe|Blindvei , Nyveilia 208, Heimdal , 109 m² , 2 890 000 kr , Totalpris: 2 988 770 kr • Fellesutg.: 917 kr , EiendomsMegler 1 avd. Melhus
174412901 , GRANÅSLIA/MILJØBYEN - STRØKEN 3-ROMS M/INNGLASSET BALKONG. 69 KVM BRA. Ettermiddags -og kveldssol.  P-kjeller, fjernevarme og heis. , Stokkbekken 132, Trondheim , 50 m² , 2 950 000 kr , Totalpris: 3 033 320 kr • Fellesutg.: 2 147 kr , Meglerhuset Nylander avd. Moholt
174719402 , Midtbyen - Svært sentral sentrumsleilighet i 5.etg med nydelig utsikt | "Alt" inkludert i felleskost | Balkong | Ingen forkjøpsrett , Prinsens gate 61, Trondheim , 37 m² , 1 950 000 kr , Totalpris: 2 464 259 kr • Fellesutg.: 5 579 kr , Samsolgt by DNB Eiendom
174712024 , HEIMDAL - Oppgradert og kvalitetsrik enebolig i rolig blindvei. Flott hage og dobbeltgarasje. Innredet sokkel med egen inngang. , Sivert Thonstads vei 4B, Heimdal , 205 m² , 6 100 000 kr , Totalpris: 6 268 170 kr , PrivatMegleren Trondheim
174712040 , Bakklandet - Lekker 4-roms på attraktive Bakklandet - Særpreg & høy himling - God planløsning - P-kjeller - Fjernvarme - Nært NTNU , Øvre Bakklandet 4A, Trondheim , 67 m² , 4 500 000 kr , Totalpris: 4 643 715 kr • Fellesutg.: 4 292 kr , Proaktiv Trondheim
174700289 , MØLLENBERG - Innbydende 3-roms toppleilighet | Privat takterrasse | TG1 kjøk. & bad | Lav felleskost. | 2 min gange til Solsiden , Gamle Kongevei 7 A, Trondheim , 65 m² , 3 390 000 kr , Totalpris: 3 482 820 kr • Fellesutg.: 1 728 kr , Heimdal Eiendomsmegling AS avd. Trondheim Sentrum
174502008 , Ila - Lys og romslig 2-roms med herlig beliggenhet i 7.etasje - Gode solfohold - God planløsning - Bad med TG 1 , Bynesveien 4 A, Trondheim , 54 m² , 2 190 000 kr , Totalpris: 2 293 927 kr • Fellesutg.: 3 408 kr , EiendomsMegler 1 avd. Trondheim Nord Øst/Lade
173885462 , Tiller - Pent og innholdsrikt rekkehus fra 2003 - 2 bad - Stue og loftstue - Flere uteplasser - Garasje , Ingeborg Ofstads veg 76, Tiller , 171 m² , 4 990 000 kr , Totalpris: 4 991 170 kr , EiendomsMegler 1 avd. Trondheim Nord Øst/Lade
174679972 , Tiller - Romslig 2-roms leilighet. Nyere bad og kjøkken. Solrik balkong. God planløsning. P-plass m/motorvarmer. , Starrmyra 6, Tiller , 63 m² , 2 350 000 kr , Fellesutg.: 3 601 kr , Proaktiv Eiendomsmegling avd. Heimdal
174678911 , Lademoen - Særegen 3-roms toppleilighet. Balkong med sol fra kl.12-22. Vedovn. Romslig, åpen løsning. Solsiden innen 10 min gange. , Lademoens Kirkeallé 11 C, Trondheim , 63 m² , 2 890 000 kr , Totalpris: 2 962 417 kr • Fellesutg.: 3 469 kr , PrivatMegleren Trondheim
169262181 , OKSTAD | SE VISNINGSINFO - Lekker 3-roms selveier med 23.5m² terrasse | Herlige solforhold | P-garasje | Heis | 3 Boder | TG1 , Okstadplassen 34D, Tiller , 79 m² , 3 090 000 kr , Totalpris: 3 355 742 kr • Fellesutg.: 4 498 kr , Heimdal Eiendomsmegling AS, Avd. Byåsen
174678558 , Høyskoleparken - Klassisk 2-roms selveier i 4.etasje. Utsøkt plassering vendt mot Elgeseter Park. 2 min fra NTNU, St.Olavs og Samfundet. , Snorres gate 11, Trondheim , 44 m² , 2 690 000 kr , Totalpris: 2 768 820 kr • Fellesutg.: 2 575 kr , PrivatMegleren Trondheim
174602615 , Granåslia - Lys og moderne 3-roms endeleilighet i lavblokk fra 2006. TG1 på "alt". Fjernvarme. Ekstra takhøyde. Bod. Fast P-plass. , Nermarka 39, Trondheim , 68 m² , 2 290 000 kr , Totalpris: 3 052 076 kr • Fellesutg.: 7 537 kr , EiendomsMegler 1 avd. Lerkendal
174673718 , Møllenberg - Flott 3-roms, betydelig oppusset i 2020 | Solrik, overbygd balkong | 3 boder | Gåavstand til sentrum og  NTNU Gløshaugen , Haldens gate 5, Trondheim , 66 m² , 2 850 000 kr , Totalpris: 2 949 373 kr • Fellesutg.: 4 021 kr , Heimdal Eiendomsmegling AS avd Heimdal
