SEP=,

ID, beskrivelse, adresse, Kvadratmeter, pris, utleier, type bolig , link
174388519,Lekker enebolig sentralt i Gamle Stavanger -2 soverom - møblert,Øvre Strandgate 84 -  Stavanger, 75 m²,13 750 kr,Utleiemegleren Stavanger,Eneboligfinn.no/realestate/lettings/ad.html?finnkode=174388519,
174384456,Rom til leie i bofellesskap -  sentralt,Tjensvolltorget 6 -  Stavanger, 60 m²,5 000 kr,Privat,Rom i bofellesskapfinn.no/realestate/lettings/ad.html?finnkode=174384456,
174246004,Møblert -  høy standard -  rolig nabolag -  parkering -  nærhet til tur- og badeområde,Ramsvigstien 5B -  Stavanger, 70 m²,11 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174246004,
123153047,Lervig Brygge Pluss- Flott leilighet i 10. etasje,Lervigbrygga 128 H1003 -  Stavanger, 50 m²,12 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=123153047,
174368235,Leilighet til leie i Bjergsted,Tastagata 29 -  Stavanger, 100 m²,12 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174368235,
100239637,Central apartment -  over 2 floors,LOSOLDERMANN NATVIGS VEI 4 -  Stavanger, 85 m²,12 000 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=100239637,
93457495,Leilighet ved Stokkavannet,LARS UTNES VEI 3 -  Stavanger, 50 m²,7 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=93457495,
174363331,Kort og langtidsleie for firma fra 550 - - per døgn,TRAVBANEVEIEN 1 -  Stavanger, 100 m²,1 kr,City Housing AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174363331,
174362747,Kort og langtidsleie for firma fra 550 - - per døgn,TRAVBANEVEIEN 1 -  Stavanger, 50 m²,1 kr,City Housing AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174362747,
174360002,Kort og langtidsleie for firma fra 550 - - per døgn,jåttåvågveien 20b -  Stavanger, 100 m²,1 kr,City Housing AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174360002,
174359440,Kort og langtidsleie for firma fra 550 - - per døgn,Jåttåvågveien 20b -  Stavanger, 50 m²,1 kr,City Housing AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174359440,
144502931,TIL LEIE! Fin -  vestvendt leilighet i rolig strøk -  sentralt,HJELMELANDSGATA 47 -  Stavanger, 55 m²,8 500 kr,Privat,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=144502931,
174358975,Kort og langtidsleie for firma fra 550 - - per døgn,BERGELANDSGATA 13 -  Stavanger, 100 m²,1 kr,City Housing AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174358975,
174357156,Kort og langtidsleie for firma fra 550 - - per døgn*,BERGELANDSGATA 13 -  Stavanger, 50 m²,16 000 kr,City Housing AS,Leilighetfinn.no/realestate/lettings/ad.html?finnkode=174357156,
